nome,endereco,cidade,telefone,lat,lng
GRINGO PEIXARIA,10 QD 55 LT 5,PALMEIROPOLIS,063-98101-8800,-10.042614,-48.40609
BAR DO DELEIY,09 QD 44 L 6 DELEI,PALMEIROPOLIS,063-98435-0297,-10.042597,-48.406216
SQUINA DO PASTEL,11 QD 71 LOTE 10,PALMEIROPOLIS,063-98503-3052,-10.04237,-48.408348
DISK N SENHORA APARE,RUA 17 QD 3 LOTE 08,PALMEIROPOLIS,063-99232-8448,-10.045785,-48.41467
BAR CONTERRANEO,AVENIDA C QD 130 LOTE 18,PALMEIROPOLIS,063-98119-1809,-10.046415,-48.413284
SORV PINGO DE MEL 01,AVENIDA CASTELO BRANCO,PALMEIROPOLIS,063-99212-1089,-10.041764,-48.40934
LEILAO,AV DAS PALMEIRAS,PALMEIROPOLIS,063-98477-7705,-10.041845,-48.4192
PETISCO BAR       02,CASTELO BRANCO,PALMEIROPOLIS,063-99296-8416,-10.041633,-48.41283
BAR FILE NA BRASA,CONTORNO QD 01 LOTE 24,PALMEIROPOLIS,063-99247-8551,-10.040067,-48.41419
BARBEARIA ENES GOMES,14 QD 03 LOTE 8,PALMEIROPOLIS,063-98426-1435,-10.039536,-48.41113
JD DOCE MEL,MARANHAO,PALMEIROPOLIS,063-98477-0367,-10.045237,-48.411385
REQUINTES BAR,AVENIDA CONTORNO,PALMEIROPOLIS,063-98420-9416,-10.039938,-48.41306
DISTRIBUIDORA JK,JK QUADRA 07 LOTE 20,PALMEIROPOLIS,063-99200-6058,-10.043727,-48.415794
BAR ZERO GRAU     04,MARANHAO QUADRA 05 LOTE 01,PALMEIROPOLIS,063-98467-2220,-10.045105,-48.415955
VENUS PIZZARIA,CASTELO BRANCO,PALMEIROPOLIS,063-99285-9361,-10.041697,-48.409172
DISTRI DOSE DUPLA 01,DAS PALMEIRAS QUADRA,PALMEIROPOLIS,063-98437-2479,-10.042456,-48.409723
MERCEARIA CORREIA,UNIAO 212,PALMEIROPOLIS,063-99296-9236,-10.038288,-48.416732
POINT GASTROBAR,09 N 304,PALMEIROPOLIS,063-98301-3035,-10.04237,-48.407287
TUBARAO DISTR,PALMEIROPOLIS LT 06,PALMEIROPOLIS,062-99249-9955,-10.038997,-48.407307
TROPICAL BEACH,AV AFONSO PENA,SAO SALVADOR DO TOCANTINS,063-98119-1033,-10.748073,-48.238716
DA ESQUINA DIST,BOM TEMPO,PALMEIROPOLIS,063-98473-5834,-10.0494,-48.39272
BAR RECANTO DO SOL01,TOCANTINS QD08 LT10 TOCANTINS QD08 LT10,PALMEIROPOLIS,063-98488-2582,-10.05075,-48.393627
BF PETISCOS,RUA D QD 13 LOTE 08,PALMEIROPOLIS,063-99296-8412,-10.04982,-48.39372
DISTRIBRUIDORA JB,PRAIAO 01,SAO SALVADOR DO TOCANTINS,063-98410-1826,-10.74953,-48.23485
MERCEARIA MONTALVAO,PRAIAO,SAO SALVADOR DO TOCANTINS,063-98418-3092,-10.749548,-48.23483
DEPOSITO DO FABAO,AVENIDA JK SN QD15 LOTE 20,SAO SALVADOR DO TOCANTINS,063-98119-7215,-10.748121,-48.238914
MINIMER E DIS MOREIR,3 QUADRA 07 LOTE 03,PALMEIROPOLIS,063-99113-2312,-10.050527,-48.39272
DIST E MER RODRIGUES,RUA PEDRO LUDOVICO QD 07,SAO SALVADOR DO TOCANTINS,063-98448-3749,-10.749431,-48.240646
PH GAS E DIST DO JEA,AV PALMEIRAS 291,PALMEIROPOLIS,063-98488-4405,-10.042606,-48.40113
FERRARI CHOOP,PALMEIRAS QD01,PALMEIROPOLIS,063-99271-0738,-10.042465,-48.400127
SAPUCAIA SORVETERIA,DAS PALMEIRAS,PALMEIROPOLIS,063-99113-7113,-10.042638,-48.402042
CASA DE FOGO      02,AVENIDA DAS PALMEIRAS SN QD 02 LT 02,PALMEIROPOLIS,063-98426-1236,-10.04262,-48.39869
EXECUTIVO HOTEL,6,PALMEIROPOLIS,063-03386-2038,-10.041168,-48.403236
BAR FIM DE TARDE  13,AVENIDA DAS PALMEIRAS QD 29 LOTE 10,PALMEIROPOLIS,063-98426-4178,-10.042529,-48.40521
DIST E PET BOM TEMPO,RUA 4 ESQUINA COM AVENIDA E QD 11 LOTE 4,PALMEIROPOLIS,062-99376-9559,-10.05044,-48.395046
SUPERM ARAGUAIA,DAS PALMEIRAS,PALMEIROPOLIS,063-98437-0088,-10.042492,-48.40293
SUPERMERCADO VERDAO,DAS PALMEIRAS,PALMEIROPOLIS,063-98439-9331,-10.042558,-48.403603
DIST MOREIRA E MERC,VILA BOM TEMPO SN,PALMEIROPOLIS,063-99113-2312,-10.050572,-48.392715
MERC E LANCH B TEMPO,5 SN CS 04,PALMEIROPOLIS,063-98424-0532,-10.048703,-48.39293
SUPERM GIRASSOL   01,AVENIDA DAS PALMEIRAS,PALMEIROPOLIS,063-98410-4611,-10.042553,-48.40262
SUPER BOM PRECO   05,DAS PALMEIRAS QUADRA 38 LOTE 08,PALMEIROPOLIS,063-98460-4934,-10.042492,-48.405262
RANCHO TOCA D PIAU,AVENIDA VENCESLAU FERREIRA,SAO SALVADOR DO TOCANTINS,063-98490-9092,-10.743935,-48.237537
COMER DE BEBIDAS WM,PRAIAO QUADRA 45 LOTE 17,SAO SALVADOR DO TOCANTINS,062-99141-7348,-10.750168,-48.23361
TAVO BEBIDAS E ALIME,RUA R CEARA,SAO SALVADOR DO TOCANTINS,063-98454-3018,-10.753792,-48.25232
LANCHONETE DA MONICA,JOAO POLDORIO QUADRA 22 LOTE 01,SAO SALVADOR DO TOCANTINS,063-98468-3466,-10.749788,-48.238213
BAR DA LUCIA      03,MACHADO DE ASSIS,SAO SALVADOR DO TOCANTINS,063-99443-1624,-10.749857,-48.24068
POUS LAGO DO RETIRO,MARANHAO,SAO SALVADOR DO TOCANTINS,062-98565-8421,-10.753505,-48.252247
DISTRIBUIDORA NELSON,02 QUADRA 23 LOTE 10,SAO SALVADOR DO TOCANTINS,063-98422-0595,-10.753652,-48.252327
DISTRIBUIDORA DGS,PRAIAO QUADRA 45 LOTE 15,SAO SALVADOR DO TOCANTINS,062-98100-1603,-10.750051,-48.233831
BAR DA NEGA SARUE,PRINCIPAL SN SEDE,SAO SALVADOR DO TOCANTINS,063-99311-0818,-10.755757,-48.226167
MERCEARIA REAL    03,JUSCELINO KUBSTCHEK 0,SAO SALVADOR DO TOCANTINS,063-98453-9153,-10.747658,-48.238074
EMPERIO SOUZA,NOSSA SRA SANTANA QD 28,SAO SALVADOR DO TOCANTINS,063-99232-1677,-10.045894,-48.414648
POUSADA MARTINS,FAZENDA PIABANHA SN POSTO BEIRA RIO,SAO SALVADOR DO TOCANTINS,061-98157-6626,-10.753393,-48.252213
EMPORIO BEER      06,AVENIDA PRAIAO SN,SAO SALVADOR DO TOCANTINS,063-98417-0343,-10.74868,-48.23632
DIST PONTO CERTO  07,GETULIO VARGAS SN QD 18,SAO SALVADOR DO TOCANTINS,063-98502-7581,-10.748665,-48.24249
ESPETO BAR,PRESIDENTE CASTELO BRANCO ESQ CM SERGIPE,GURUPI,063-99984-1594,-10.716784,-48.07392
DA HORA DISTRIBUIDOR,SERGIPE QD 01 LT 09,GURUPI,063-98116-4979,-10.725562,-48.085583
BAR DO GUIDA,PARANA MERC MUNICIPAL,GURUPI,063-98439-3213,-10.724365,-48.07315
MERC BAR DO ARMANDO,23 QD 19 LT,GURUPI,063-98104-2946,-10.725937,-48.082504
ESPETINHO DO NEY,RUA 09 QD 07 LOTE 01,GURUPI,063-98442-2060,-10.726238,-48.085327
BAR DO JOVA,GUANABARA ENTRE 20 E 21,GURUPI,063-98497-1689,-10.726352,-48.079117
TABERNAS CHOPP,RUA DEPUTADO JOSE DE ASSIS,GURUPI,063-99290-7460,-10.725223,-48.076443
REST. SABOR DA TERRA,RUA 19 ESQ SANTA CATARINA,GURUPI,063-03351-3711,-10.725806,-48.07637
BAR DO VELHINHO   02,GUANABARA,GURUPI,063-98424-3484,-10.727288,-48.080406
CONVEN MARTA ROCHA,MINAS GERAIS,GURUPI,063-98417-2463,-10.7206,-48.076485
SUPERMERC SERRA AZUL,SERGIPE,GURUPI,063-98423-9026,-10.724663,-48.08439
ARMAZEM SAB DA TERRA,ANTONIO NUNES QD 02 LT 01,GURUPI,063-98436-7719,-10.725858,-48.086006
BAR PONTO CERTO   02,10 QD 341,GURUPI,063-99115-9556,-10.720632,-48.08004
EMPORIO DA CERVEJA03,RIO GRANDE DO SUL,GURUPI,063-98116-1381,-10.726305,-48.07704
PETRUS CONV E DIST,GUANABARA QD 373 SALA 4,GURUPI,063-98479-3562,-10.727128,-48.080086
BAR DA FATIMA     04,31 DE MARCO ENTRE ENTRE RJ E ES,GURUPI,063-99123-1870,-10.724847,-48.079433
FAST FOOD BURGER,MINISTRO ALFREDO NASSER ESQ COM AV M G,GURUPI,063-98439-9237,-10.720112,-48.076225
ZERO GRAU         03,TRINTA E UM DE MARCO LT 11 A QD 365,GURUPI,063-98422-1515,-10.722776,-48.080948
AF DIST DE BEBIDAS,RUA 02,GURUPI,063-99250-3028,-10.724825,-48.084488
DIST DE BEB PONTO,TRINTA E UM DE MARCO,GURUPI,063-98407-7230,-10.725225,-48.07921
DUBAI CONVENIENCIA,GOIAS QUADRA 01 LOTE 01 02 03,GURUPI,062-99573-5723,-10.736676,-48.078064
COMERCIAL CASA VERDE,8 QUADRA 01 LOTE 10,GURUPI,063-98437-4121,-10.724623,-48.087315
DA HORA,SERGIPE QUADRA 01 LOTE 09,GURUPI,063-99116-4979,-10.725572,-48.085596
DISTRIB GELA GUELA,HUMBERTO ALENCAE CASTELO BRANCO Q 5 LO01,GURUPI,063-98460-5727,-10.726597,-48.086325
DISTRIBUI NOVA OPCAO,TRINTA E UM DE MARCO,GURUPI,063-99261-5039,-10.724585,-48.079525
